,1/1/18 ,2/1/18 ,3/1/18 ,4/1/18 ,5/1/18 ,6/1/18 ,7/1/18 ,8/1/18 ,9/1/18 ,10/1/18 ,11/1/18 ,12/1/18 ,1/1/19 ,2/1/19 ,3/1/19 ,4/1/19 ,5/1/19 ,6/1/19 ,7/1/19 ,8/1/19 ,9/1/19 ,10/1/19 ,Customer Count,Revenue,Cost of Goods,Gross Profit,Margin,Tax
,663,783,878,789,1003,1052,1045,1492,1001,988,1371,1564,855,690,932,973,866,778,881,954,985,519,21062,6244170.531,2270068.114,3974102.417,0.63645,33711.03115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Count,663,783,878,789,1003,1052,1045,1492,1001,988,1371,1564,855,690,932,973,866,778,881,954,985,519,,,,,,
Revenue,129812.6187,189794.7443,250004.3405,251355.3248,330002.6502,396615.0231,472641.6482,433398.4124,276070.9975,287313.2348,290083.0725,208422.0014,140465.7998,141948.6635,205108.3078,284064.4147,334933.0905,366228.7043,443585.3184,400958.2832,271263.5169,140100.3638,,,,,,
Cost of Goods,43865.72071,64976.8056,91960.92317,91012.73237,125167.3162,146902.7328,161550.6634,157386.1984,97502.86893,103002.0858,109828.4576,75391.55713,51873.00881,51174.67462,76377.52599,107389.3017,130241.2654,133031.1613,157353.2475,144086.1193,98305.13994,51688.60772,,,,,,
Gross Profit,85946.89794,124817.9387,158043.4173,160342.5925,204835.3339,249712.2903,311090.9849,276012.2141,178568.1285,184311.1489,180254.6149,133030.4443,88592.791,90773.98888,128730.7818,176675.113,204691.8251,233197.543,286232.0708,256872.1639,172958.3769,88411.75612,,,,,,
Margin,0.662084,0.657647,0.632163,0.637912,0.620708,0.629609,0.658196,0.636856,0.64682,0.641499,0.62139,0.638274,0.630707,0.639485,0.627623,0.621954,0.611142,0.636754,0.645269,0.640646,0.637603,0.63106,,,,,,
Tax,604.71784,761.63445,1008.45377,996.39845,1722.99091,2028.00174,2617.0766,2737.51345,1320.43584,1422.18239,1300.16156,817.52101,539.20038,615.23578,1085.70004,1411.93341,2358.16036,1932.44593,3207.37802,2845.09686,1592.65722,786.13514,,,,,,
